ExecutionTime: 2018-12-25 17:45:02; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryFront; TotalUserTime: 4.3210s; Message: None
ExecutionTime: 2018-12-25 17:45:06; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.3180s; Message: None
ExecutionTime: 2018-12-25 17:45:12; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4880s; Message: None
ExecutionTime: 2018-12-25 17:45:16; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.2930s; Message: None
ExecutionTime: 2018-12-25 17:45:20; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.6460s; Message: None
ExecutionTime: 2018-12-25 17:45:24; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.2900s; Message: None
ExecutionTime: 2018-12-25 17:45:28; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.3110s; Message: None
ExecutionTime: 2018-12-25 17:45:34; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.4010s; Message: None
ExecutionTime: 2018-12-25 17:45:47; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 17:55:41; Path：login_st.LoginTest.test_loginLogo; TotalUserTime: 1.3820s; Message: None
ExecutionTime: 2018-12-25 18:00:23; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.3610s; Message: None
ExecutionTime: 2018-12-25 18:00:27; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3240s; Message: None
ExecutionTime: 2018-12-25 18:00:32; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3570s; Message: None
ExecutionTime: 2018-12-25 18:00:36; Path：IsEDP.Login.login_st.LoginTest.test_accountLong; TotalUserTime: 4.7240s; Message: None
ExecutionTime: 2018-12-25 18:00:40; Path：IsEDP.Login.login_st.LoginTest.test_accountNull; TotalUserTime: 3.2990s; Message: None
ExecutionTime: 2018-12-25 18:00:44; Path：IsEDP.Login.login_st.LoginTest.test_accountSpace; TotalUserTime: 4.2930s; Message: None
ExecutionTime: 2018-12-25 18:00:49; Path：IsEDP.Login.login_st.LoginTest.test_accountSymbol; TotalUserTime: 4.3660s; Message: None
ExecutionTime: 2018-12-25 18:00:58; Path：IsEDP.Login.login_st.LoginTest.test_errorPhone; TotalUserTime: 8.4790s; Message: None
ExecutionTime: 2018-12-25 18:00:58; Path：IsEDP.Login.login_st.LoginTest.test_loginLogo; TotalUserTime: 0.6860s; Message: None
ExecutionTime: 2018-12-25 18:01:04; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryAfter; TotalUserTime: 5.1760s; Message: None
ExecutionTime: 2018-12-25 18:01:08; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryFront; TotalUserTime: 4.3090s; Message: None
ExecutionTime: 2018-12-25 18:01:13; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.3490s; Message: None
ExecutionTime: 2018-12-25 18:01:18; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4300s; Message: None
ExecutionTime: 2018-12-25 18:01:22; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.2780s; Message: None
ExecutionTime: 2018-12-25 18:01:27; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.6500s; Message: None
ExecutionTime: 2018-12-25 18:01:30; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.2950s; Message: None
ExecutionTime: 2018-12-25 18:01:35; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.2940s; Message: None
ExecutionTime: 2018-12-25 18:01:40; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.3630s; Message: None
ExecutionTime: 2018-12-25 18:01:52; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 18:39:34; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
