TIME: 2018-12-04 14:07:48,043     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:07:48,043     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:07:48,043     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:07:48,043     DEF: logging_debug    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:07:50,206     DEF: logging_debug    MESSAGE：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
TIME: 2018-12-04 14:08:53,752     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F1->BACK_MSG：test_F1     
TIME: 2018-12-04 14:08:55,084     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:08:55,084     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:08:56,226     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:08:56,226     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:08:56,226     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:08:57,378     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:08:57,378     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:08:57,378     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:08:57,378     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
TIME: 2018-12-04 14:08:58,950     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:08:58,950     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:08:58,950     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:08:58,950     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:08:58,950     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
TIME: 2018-12-04 14:10:31,368     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F1->BACK_MSG：test_F1     
TIME: 2018-12-04 14:10:32,521     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:10:32,521     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
TIME: 2018-12-04 14:10:33,643     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:10:33,643     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
TIME: 2018-12-04 14:10:33,643     DEF: logging_info    MESSAGE：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
